,원문,kobart,TextLank
1,일본이라는 키워드 하나로 살아온 인생 제가 좋아하고 잘 할 수 있는 일을 통해 그 분야에서 꾸준히 성장하는 것이 삶에서 가장 중요한 가치입니다 저는 학창 시절부터 이어져 온 일본에 대한 관심을 확장하고 심화하고자 학부 전공으로 선택하였습니다 고등학생 때부터 일본어에 관한 화제라면 친구들이 모두 저를 가장 처음으로 찾았으며 학부 재학 중에도 전공 공부가  즐거워서 심화 전공을 선택하였습니다 이 중전공을 하지 않는 대신 일본어 교직 이수를 함으로써 전공 전문성을 높이기 위해 노력했습니다 이런 모습을 보고 동기들은 일문과 중에서도 일본어를 가장 좋아하는 사람이라고 평가해 주었습니다 대외활동 면에서도 일본과 관련이 있는 분야에 적극적으로 지원하여 활동했습니다 저학년 때는 대학생기자단 일본 문화원 리포터 등의 활동  및 교내 한국어 센터 도우미로서 일본인 대만인 학생을 대상으로 봉사활동을 진행하였습니다 교환학생 귀국 후에는 습득한 지식과 경험을 바탕으로 년째 일본을 테마로 한 블로그를 운영해오고 있습니다 일어일문학을 전공하며 앞으로 한국과 일본을 잇는 기업으로 진출하여 지속적으로 활약하고 싶다는 꿈을 갖게 되었습니다 운 좋게 인턴으로서 첫 사회 경험을 일본계 은행에 서 할 수 있었습니다 인턴으로 근무하며 조직생활에 어느 정도 익숙해질 수 있었고 학생으로서 쌓은 일본 관련 지식 및 경험을 업무 현장에서 활용할 기회를 얻어 감사한 마음이 들었습니다 전자 분야를 선도 하는 한국무라타 전자의 혁신을 통한 사회 발전이라는 비전은 일본이라는 키워드로 한 길을 걸어온 제 삶과 일맥상통하는 부분이 있다고 생각합니다 제가 쌓아온 어학 및  커뮤니케이션 능력을 통해 고객사 및 공장과의 성공적 커뮤니케이션에 기여하겠습니다 한국무라타 전자의 일원이 되어 자아를 실현하고 사람들의 생활 편의에 도움을 줌으로써 사회 기여에 공헌하고 싶습니다,학창 시절부터 이어져 온 일본에 대한 관심을 확장하고 심화하고자 학부 전공으로 선택하였으며 학부 재학 중에도 전공 공부가 즐거워서 심화 전공을 선택하였고 이후 한국과 일본을 잇는 기업으로 진출하여 지속적으로 활약하고 싶다는 꿈을 갖게 되었다.,"저는 학창 시절부터 이어져 온 일본에 대한 관심을 확장하고 심화하고자 학부 전공으로 선택하였습니다.
고등학생 때부터 일본어에 관한 화제라면 친구들이 모두 저를 가장 처음으로 찾았으며 학부 재학 중에도 전공 공부가  즐거워서 심화 전공을 선택하였습니다.
교환학생 귀국 후에는 습득한 지식과 경험을 바탕으로 년째 일본을 테마로 한 블로그를 운영해오고 있습니다.
전자 분야를 선도 하는 한국무라타 전자의 혁신을 통한 사회 발전이라는 비전은 일본이라는 키워드로 한 길을 걸어온 제 삶과 일맥상통하는 부분이 있다고 생각합니다."
2,융통성과 책임감으로 무장한 일본계 경험자 한국무라타 전자의 영업관리 직무를 성공적으로 수행하기 위해 저는 하기와 같은 두 가지 역량이 가장 중요하다고 생각합니다 첫 번째 변화에 대처하는 유연한 태도입니다 유튜브에 업로드된 영업관리팀 선배님들의 인터뷰 영상을 보며 고객 생산에 관련된 업무 변동에 즉시 대응하는 것이 무엇보다 중요하다는 것을 알 수 있었습니다  영업관리 직무는 회사의 매줄과 직접적으로 연관되어 있다는 사실 또한 깨달았습니다 생산자인 공장 측의 입장과 고객 측의 입장을 정확히 이해하여 예상 가능한 갈등 상황을 미연에 방지하거나 융통성 있게 해결하는 역량이 필요합니다 은행에서 인턴으로 근무할 당시 고객사와의 미팅 일정이 미뤄지거나 앞당겨지는 등과 같은 경우를 종종 경험하였습니다 그래서 급하게 화 상회의를 세팅하거나 초과근무를 해서라도 번역 자료를 빨리 완성시켜 상부에 제출해야 했습니다 처음에는 수시로 바뀌는 상황에 혼란스럽기도 했습니다 하지만 근무하며 이와 같은 상황에도 적응이 되었습니다 더 이상 당황하지 않고 변화된 상황에 맞춰서 대처하는 요령을 익혔습니다 두 번째 맡은 일을 끝까지 완수하는 책임감입니다 영업관리 직무를 수행하기 위해서는 고객의 입 장에서 먼저 생각하는 서비스 정신이 요구된다고 생각합니다 그리고 그 과정에서 스트레스나 부담감 등도 당연히 발생할 수 있을 것입니다 업무상 스트레스를 지혜롭게 극복하여 담당 한 업무를 성공적으로 마치는 책임감이 필요합니다 인턴 업무 중 고객사 비서실과 자주 연락하며 팀의 비서 역할을 수행할 때가 많았습니다 고객사 응대 시에는 이 메일상의 말투와 같은 사소한  부분에도 주의를 기울여 좋은 이미지를 보일 수 있도록 노력했습니다 대내적으로도 비서나 총무 업무를 자주 맡아 하였는데 이 과정에서 업무에 대한 책임감을 내면화할 수 있었습니다 정해진 계약기간을 채우고 꽃다발을 받으며 퇴사하던 날 주어진 일에 최선을 다했던 스스로에게 뿌듯함을 느꼈습니다,"한국무라타 전자의 영업관리 직무를 성공적으로 수행하기 위해서는 생산자인 공장 측의 입장과 고객 측의 입장을 정확히 이해하여 예상 가능한 갈등 상황을 미연에 방지하거나 융통성 있게 해결하는 역량이 필요하며, 업무상 스트레스를 지혜롭게 극복하여 담당 한 업무를 성공적으로 마치는 책임감이 필요합니다","융통성과 책임감으로 무장한 일본계 경험자 한국무라타 전자의 영업관리 직무를 성공적으로 수행하기 위해 저는 하기와 같은 두 가지 역량이 가장 중요하다고 생각합니다.
처음에는 수시로 바뀌는 상황에 혼란스럽기도 했습니다.
더 이상 당황하지 않고 변화된 상황에 맞춰서 대처하는 요령을 익혔습니다.
영업관리 직무를 수행하기 위해서는 고객의 입 장에서 먼저 생각하는 서비스 정신이 요구된다고 생각합니다.
대내적으로도 비서나 총무 업무를 자주 맡아 하였는데 이 과정에서 업무에 대한 책임감을 내면화할 수 있었습니다."
3,서로 다른 커뮤니케이션 방식으로 지향하는 하나의 목표 다양성이란 소통 방식이 다르더라도 진심을 이해하는 것이라고 생각합니다 그 이유는 학부생 때 여러 국가 출신의 조원들과 팀 프로젝트를 하며 이와 같이 느꼈기 때문입니다 일본인 팀원들의 경우 개인차가 있지만 대체로 자신의 의견을 피력하지 않는 경향이 강했습니다 그래서 추진력이나 결단이 필요할 때 아쉬움과  조바심을 느낀 적이 많았습니다 반면 중국인 팀원들의 경우 일본인의 경우와는 반대로 자신의 의견을 우선적으로 주장하는 특성이 보였습니다 그래서 팀 전체 의견을 통일하는 데 어려움을 겪었습니다 중국인 학생과 팀 프로젝트를 준비할 때의 일입니다 한 명을 제외하고는 모두 한국인으로 구성되어 있어서 소통 언어는 자연스럽게 한국어가 되었습니다 그러나 중국인 학생이  한국어가 서툴러 소통하기가 어려웠고 시간도 많이 소요되었습니다 하지만 적극적인 의욕으로 참여하려는 모습에 마음이 움직였습니다 강의는 일본어로 진행되었기 때문에 조원들에게 프로젝트를 준비할 때도 일본어를 사용하자고 제안했습니다 이렇게 함으로써 각자 일본어에 더욱 익숙해질 수 있었고 중국인 조원과의 소통도 한층 수월해졌습니다 결국 발표도 일본어로 해야 했 기 때문에 프로젝트 진행의 효율성을 극대화할 수 있었습니다 다 만 아직 프레젠테이션을 구상 중인데 발표자를 먼저 정하려고 하는 등 중국인 팀원의 의욕이 앞서 나간 나머지 템포가 맞지 않는 경우가 있었습니다 처음에는 당황했지만 제가 일본에 교환학생으로 있을 때를 떠올렸습니다 저는 빨리 결론을 내고 싶은데 일본인 조원들은 계속해서 더 고민해보자고 할 때 답답 함과 소외감을 느꼈습니다 중국인 조원도 그런 마음이 지 않을까 라는 생각이 들어 진행 상황을 설명하며 설득했습니다 프로젝트 성공이라는 같은 목표를 향해 있었던 덕분에 매끄럽게 진행될 수 있었다고 생각합니다 서로 다른 언어를 쓰고 다른 문화의 영향을 받았더라도 진심을 이해한다면 문제 없다고 느꼈습니다,학부생 때 여러 국가 출신의 조원들과 팀 프로젝트를 하며 자신의 의견을 피력하지 않는 경향이 강했던 일본인 팀원들의 경우 추진력이나 결단이 필요할 때 아쉬움과 조바심을 느낀 적이 많았지만 중국인 팀원들의 경우 일본인의 경우와는 반대로 자신의 의견을 우선적으로 주장하는 특성이 있어 팀 전체 의견을 통일하는 데 어려움을 겪었다.,"일본인 팀원들의 경우 개인차가 있지만 대체로 자신의 의견을 피력하지 않는 경향이 강했습니다.
반면 중국인 팀원들의 경우 일본인의 경우와는 반대로 자신의 의견을 우선적으로 주장하는 특성이 보였습니다.
중국인 학생과 팀 프로젝트를 준비할 때의 일입니다.
강의는 일본어로 진행되었기 때문에 조원들에게 프로젝트를 준비할 때도 일본어를 사용하자고 제안했습니다.
결국 발표도 일본어로 해야 했 기 때문에 프로젝트 진행의 효율성을 극대화할 수 있었습니다."
4,일본 전공자로서 최고의 선택은 롯데 저는 회사를 선택할 때 첫 번째로 한 분야에서 전문가가 될 수 있는 곳인지를 가장 중요하게 생각합니다 즉 해당 업계에서 충분한 권위와 영향력을 가진 곳이어야 합니다 한국을 대표하는 롯데월드타워라는 랜드마크를 관리하는 롯데물산에서 경영지원 직무를 수행함으로써 한국 쇼핑산업 선도 업계 위라는 기준을 만족함은 물론 제 전공 과 인턴 경험도 살릴 수 있는 곳이라고 생각하였습니다 두 번째로 일본과 관련 있는 곳입니다 일어일문학 전공을 살릴 수 있는 분야에서 활약하기를 늘 꿈꿔 왔으며 일본계 은행에서 인턴으로 근무했던 경험을 가장 잘 살릴 수 있는 회사는 한일 양국에서 오랫동안 비즈니스를 펼쳐오고 있는 롯데가 유일하다고 확신합니다 특히 서울 전역에서 보이는 롯데타워는 한국의 대표적  랜드마크로서의 입지를 굳히고 있다고 생각합니다 복합쇼핑산업 및 문화를 선도 하는 롯데물산 입사가 제 기준에 대한 답이 될 것이라고 생각합니다,한국을 대표하는 롯데월드타워라는 랜드마크를 관리하는 롯데물산에서 경영지원 직무를 수행함으로써 한국 쇼핑산업 선도 업계 위라는 기준을 만족함은 물론 제 전공 과 인턴 경험도 살릴 수 있는 곳이라고 생각하며 한일 양국에서 오랫동안 비즈니스를 펼쳐오고 있는 롯데가 유일하다고 확신한다.,"일본 전공자로서 최고의 선택은 롯데 저는 회사를 선택할 때 첫 번째로 한 분야에서 전문가가 될 수 있는 곳인지를 가장 중요하게 생각합니다.
두 번째로 일본과 관련 있는 곳입니다."
5,한 달에 권 이상 독서와 기록 저는 맡은 분야에서 인자가 되기 위해 절대적인 기준을 세우고 그것을 충족시키기 위해 계속해서 노력합니다 학창 시절부터 전공 분야를 꾸준히 학습해온 것은 스스로의 자부심이며 전문성을 쌓기 위해 꾸준히 책을 읽습니다 중요한 부분은 따로 기록해 필요할 때마다 찾아봅니다 관련 정보가 필요한 사람들에게도 도움이 되니 뿌듯한 기분이 드 는 것은 덤입니다 더는 두렵지 않은 타인에게 말 걸기 저는 새로운 경험과 사람들과의 만남에 적극적입니다 특히 첫 사회 생활을 하면서 활발해져서 지인들도 눈에 띄게 밝아졌다고 평가해 주 곤 합니다 어느 날 퇴근길 엘리베이터에서 좋아하는 브랜드의 재킷을 입은 분을 마주친 적이 있습니다 예전이었다면 재킷 예쁘다 어디서 샀는지 궁금하다 생각만 했을 것입니다 하지만 그 날은 과감하게 안녕하세요 혹시 그 재킷 어디서 사셨어요 저도 좋아하는 브랜드라서 요 라고 말을 붙이고는 스스로도 놀랐습니다 타인을 두려워하던 제 모습은 더 이상 없었습니다 타인과의 교류를 열린 마음으로 수용하는 요령을 익혔다고 생각합니다 얼리 어답터의 즐거움 예전에는 기존의 현상을 유지하려는 두려움이 도전의식보다 컸습니다 하지만 친구들의 영향으로 신제품을 접 할 때마다 편리함과 즐거움을 느꼈습니다 머릿속에 새로운 것 해보자라는 공식이 성립했습니다 최근 열풍으로 지적재산권에 관심이 생겨 직접 만든 캐릭터와 그림을 로 발행해 보았습니다 수익화로 이어지지는 않았지만 개방적이고 수용적인 태도를 갖는 데 큰 도움이 되었습니다,얼리 어답터의 즐거움 예전에는 기존의 현상을 유지하려는 두려움이 도전의식보다 컸지만 친구들의 영향으로 신제품을 접 할 때마다 편리함과 즐거움을 느꼈다.,"관련 정보가 필요한 사람들에게도 도움이 되니 뿌듯한 기분이 드 는 것은 덤입니다.
더는 두렵지 않은 타인에게 말 걸기 저는 새로운 경험과 사람들과의 만남에 적극적입니다.
하지만 그 날은 과감하게 안녕하세요 혹시 그 재킷 어디서 사셨어요 저도 좋아하는 브랜드라서 요 라고 말을 붙이고는 스스로도 놀랐습니다.
하지만 친구들의 영향으로 신제품을 접 할 때마다.
머릿속에 새로운 것 해보자라는 공식이 성립했습니다.
수익화로 이어지지는 않았지만 개방적이고 수용적인 태도를 갖는 데 큰 도움이 되었습니다다."
6,낮엔 노래하고 밤엔 글을 썼습니다 좋아하는 분야에 대한 높은 몰입도와 진지함을 장점으로 살려 동아리 및 취미 활동에 열심히 임했던 경험이 가장 기억에 남습니다 신입생 때 오디션에 합격해 교내 중앙밴드동아리에서 활동했습니다 취미라 할지라도 이 분야의 재능을 세상에 인정받고 싶다는 의욕이 생겼습니다 한 목표를 향해 거의 매일 밤늦게까지 합주실에서 연습을 거 듭했습니다 캄캄한 귀갓길에 들었던 생각은 무언가에 이렇게 몰입하고 있다는 것이 자랑스럽다는 것이었습니다 연습량이 늘어날수록 목소리와 잘 맞는 곡을 고르는 감각도 날카로워졌습니다 밴드의 특색을 결정짓는 보컬로서 구성원들과도 인간적으로 가까워지려고 노력했습니다 그 결과 새내기임에도 불구하고 년에 약 번 이상의 라이브를 기록하였고 대학 연합 서바이벌 밴드경연 대회에서 종합 위의 성적을 거두었습니다 밴드 외에도 학생 때부터 취 미로 써오던 시를 모아 자가 출판하여 판매한 경험도 있습니다 시간이 날 때마다 써온 글이 모여 책 한 권 분량이 되었을 때 결과 물로 세상에 내놓고 싶다는 생각이 들었습니다 그래서 문서 파일 편집부터 디자인 결정 등 자가 출판 과정에 필요한 모든 과정을 스스로 진행하였습니다 마침내 결과 물이 제  손 안에 쥐어졌을 때 들었던 뿌듯함은 지금도 선명히 남아 제가 어떤 일에 도전할 때에도 든든한 자신감이 되어 줍니다 이처럼 저는 학업 이외에도 한 번 발을 담근 분야에서 의 미 있는 성과를 내기 위해 진지한 태도로 열 중하는 태도를 가진 사람입니다 좋아하는 분야에 열정적으로 임했던 기 억으로 삶을 살아가고 싶습니다,좋아하는 분야에 대한 높은 몰입도와 진지함을 장점으로 살려 동아리 및 취미 활동에 열심히 임했던 경험이 가장 기억에 남는다.,"좋아하는 분야에 대한 높은 몰입도와 진지함을 장점으로 살려 동아리 및 취미 활동에 열심히 임했던 경험이 가장 기억에 남습니다.
캄캄한 귀갓길에 들었던 생각은 무언가에 이렇게 몰입하고 있다는 것이 자랑스럽다는 것이었습니다.
마침내 결과 물이 제  손 안에 쥐어졌을 때 들었던 뿌듯함은 지금도 선명히 남아 제가 어떤 일에 도전할 때에도 든든한 자신감이 되어 줍니다.
좋아하는 분야에 열정적으로 임했던 기 억으로 삶을 살아가고 싶습니다다."
7,여러 부서를 지원했던 경험을 살리겠습니다 은행의 인턴으로 근무하며 소속 되어 있던 영업팀은 물론 총무팀팀 준법감시팀 등 다양한 부서의 사람들과 협업할 기회가 많았습니다 팀 내 비서 업무를 전담하며 롯데 계열사 비서실과도 자주 연락하였으며 이러한 경험을 통해 조직 내 의사결정 및 업무 진행 과정에 대해 배울 수 있었습니다 팀별로 업무일과 나 사용 단어가 다른 경우가  많았는데 필요한 사항을 정확히 이해하고 팀원분께 전달해 드려 성공적으로 업무를 끝마치는 데 도움이 되었을 때 뿌듯함을 느꼈습니다 새로운 거래 건 체결 관련 화상회의 환경을 세팅함으로써 업무 현장 내 분위기를 체감하였습니다 특히 거래처와 지속적인 관계 유지나 새 계약을 맺기 위한 모든 활동이 조직을 경영하기 위해 필요한 것임을 깨달았습니다 앞으로도 경영지원  업무에서 전문성을 쌓아가고 싶습니다 배려는 물론 도전을 두려워하지 않겠습니다 저는 겁이 많고 쉽게 불안해 하는 성격이었습니다 그러나 개인적으로 힘든 일이 많았던 작년을 보내고 난 뒤 지금 아니면 언제라는 도전적인 마인드를 갖게 되었습니다 타고난 역지사지 정신에 과감한 도전의식을 더해 롯데물산의 경영지원 업무를 수행하며 신입사원의 자세로 열심히 배우며 활 약해 나가고 싶습니다 국내 인프라뿐만 아니라 전 세계에 한국 랜드마크로서의 롯데타워를 알리는 데 저의 역량을 최대한으로 사용하고 싶습니다 특히 영어와 일본어를 활용하여 향후 이와 관련된 의사결정이 내려졌을 때 관련 정보 통번역 및 이에 필요한 사무업무 등을 통해 롯데물산의 성장 가능성을 넓혀 나가기를 희망합니다,은행의 인턴 인턴으로 근무하며 소속 되어 있던 영업팀은 물론 총무팀팀 준법감시팀 등 다양한 부서의 사람들과 협업할 기회가 많았고 롯데 계열사 비서실과도 자주 연락하였으며 이러한 경험을 통해 조직 내 의사결정 및 업무 진행 과정에 대해 배울 수 있었다.,"팀 내 비서 업무를 전담하며 롯데 계열사 비서실과도 자주 연락하였으며 이러한 경험을 통해 조직 내 의사결정 및 업무 진행 과정에 대해 배울 수 있었습니다.
팀별로 업무일과 나 사용 단어가 다른 경우가  많았는데 필요한 사항을 정확히 이해하고 팀원분께 전달해 드려 성공적으로 업무를 끝마치는 데 도움이 되었을 때 뿌듯함을 느꼈습니다.
타고난 역지사지 정신에 과감한 도전의식을 더해 롯데물산의 경영지원 업무를 수행하며 신입사원의 자세로 열심히 배우며 활 약해 나가고 싶습니다."
8,입사 후 년간은 새로운 환경에 적응하고 업무를 배워가면서 저만의 업무 루틴을 개발해 효율성을 높여가는 것이 가장 큰 목표입니다 익숙하지 않고 서툴러서 만약 실수하게 되는 경우가 일어나더라도 즉시 윗선에 보고함은 물론 기 죽지 않고 긍정적인 신입사원으로서의 존재감을 굳히겠습니다 롯데물산의 사업이 원활히 진행될 수 있도록 최전방에서 기 초체력을 보충한다는 느 낌으로 가장 작고 기본적인 일을 최고로 중시하는 태도로 임하겠습니다 이는 입사 후 년이 되어도 변하지 않는 가치로 지켜가고 싶습니다 년 이상 연차가 차면 주어진 일을 수행하는 것에 더해 롯데물산 경영지원 직무에서 필요한 의사결정에 적절한 판단을 제시하는 방향 키 역할을 해내길 희망합니다 학부생 시절 다양한 조별 과제에서 항상 조장을 맡았던 경험 등을 살려  팔로워에서 시작해 리더로 거듭나는 것이 최종 목표입니다 쇼핑계의 전통적인 강자인 롯데물산이 장래 동아시아의 최고 쇼핑센터가 되도록 기여하고 싶습니다,롯데물산의 사업이 원활히 진행될 수 있도록 최전방에서 기 초체력을 보충한다는 느 낌으로 가장 작고 기본적인 일을 최고로 중시하는 태도로 임하겠으며 입사 후 년간은 새로운 환경에 적응하고 업무를 배워가면서 저만의 업무 루틴을 개발해 효율성을 높여가는 것이 가장 큰 목표이다.,
9,다방면으로 사고하는 힘 국제의료 마케팅 병원 경영학을 수강하면서 포지셔닝과 좋은 병원과 나쁜 병원을 비교 분석하는 과제를 하면서 의료의 질의 중요성을 알게 되었습니다 은 고객 최적화 서비스로 편리함과 진료의 신뢰감을 주었습니다 좋은 병원과 나쁜 병원은 환자에게 의료 서비스를 쾌적함과 신뢰감을 주는 것에 차이가 난다는 것을 알게 되었습니다 의료 서비스의  질에 건강보험의 수가 선정이 결정적인 영향을 준다는 것을 배웠습니다 의료조직의 사고방식을 토대로 다양한 조직에서 활동을 하면서 다방면으로 사고해서 문제를 해결하는 힘을 키웠습니다 스쿨에서 매출 증대 방안 미션을 수행하면서 의 근본적인 문제점을 찾아 해결책을 제시했습니다 매장을 방문해 타 매장 대비 제품을 고객에 맞게 설명하지 못하는 점을 파악했습니 다 혁신센터 서포터즈에서 제품을 개발할 때 연구적인 관점도 중요하지만 고객의 측면에서 어떤 가치를 제공할 수 있는지 명확히 해야 하는 것을 배웠습니다 창업을 할 때 시장의 동향을 명확히 파악해서 연구개발을 통해 제품의 기술력이 고객에게 전달되는 설계가 중요하다는 것을 배웠습니다,국제의료 마케팅 병원 경영학을 수강하면서 포지셔닝과 좋은 병원과 나쁜 병원을 비교 분석하는 과제를 하면서 좋은 병원과 나쁜 병원은 환자에게 의료 서비스를 쾌적함과 신뢰감을 주는 것에 차이가 난다는 것을 알게 되었고 의료조직의 사고방식을 토대로 다양한 조직에서 활동을 하면서 다방면으로 사고해서 문제를 해결하는 힘을 키웠다.,"다방면으로 사고하는 힘 국제의료 마케팅 병원 경영학을 수강하면서 포지셔닝과 좋은 병원과 나쁜 병원을 비교 분석하는 과제를 하면서 의료의 질의 중요성을 알게 되었습니다.
혁신센터 서포터즈에서 제품을 개발할 때 연구적인 관점도 중요하지만 고객의 측면에서 어떤 가치를 제공할 수 있는지 명확히 해야 하는 것을 배웠습니다."
10,성공적인 세미나 준비하기 관리원 정책 총괄팀 인턴에서 글로벌 개국 소재부품 장비의 현황조사 세미나를 준비했습니다 선임의 도움을 받아 한 글로 문서 정리를 통해 설명을 하는 것을 생각했습니다 하지만 선임은 세미나 준비는 자료로 준비하는 것은 자료 이해에 도움이 된다고 조언했습니다 그래서 를 어떻게 구성할지 와 도표를 어떻게 구성할지 고민을 했습니다 작성 을 슬라이드마다 연결성 있게 구성을 하는 것이 중요하다고 생각했습니다 그래서 자료에 대한 요약과 거시적인 관점에서 현황 파악 및 결과를 도 출하고 항목별로 세부적으로 설명하는 형식으로 구성했습니다 의 통계 기준을 제시할 때 이 아닌 로 한 이 유의 설명을 구성했습니다 그 후에 주요 개국의 소재 부품의 수출 현황을 도 표화했습니다 부품 소재의 산업 군의 글로벌  시장의 시장 점유율 및 대 세계 별 수출 현황을 소재 부품별로 명확히 파악 및 분석한 자료를 구성했습니다 주요 개국 별로 산업 군 의존도를 통해 소재부품에서 어떤 산업의 의존도가 높은 지 와 강점과 단점을 파악했습니다 한국은 특히 전자산업 부품 의존도가 이상이고 부품의 수입이 높습니다 그래서 다른 부품 소재 산업의 육성을 통해 다각화된 부품산업의 글로벌  경쟁력을 확보를 해야 한다고 방향성을 제시했습니다 일본은 한국에 비해 수출 대 품목은 한국보다 낮지만 균형적인 다각화된 산업 편 중도를 갖고 있습니다 한국은 중국의 성장에 따른 위협에 고객의 니즈에 맞는 품질 경쟁력을 확보하는 것을 제안했습니다 자주포 사례를 통해 합리적인 가격에 해 당 군 수요를 수요하는 성능을 통해 글로벌 시장을 선도 하는 근거를 제시했 습니다 그래서 독일 일본 미국은 가격 경쟁력이 약하기 때문에 그 부분에 대한 경쟁력을 확보하고 해당 니즈에 맞게 최적화된 품질 경쟁력을 확보하는 것을 제안했습니다 그 결과 세미나 발표에서 직원에게 해당 산업 군에 현황 분석과 이 해도가 높다는 칭찬을 받았습니다 스피드와 정확성을 갖춘 업무처리 센터 서포터즈에서 대구 스타트업 주간 취재 및 인터뷰를 수행했습 니다 대구 스타트업 주간은 일 일정으로 되어 있었고 월요일과 화요일 수요일 토요일에 행사 취재 및 인터뷰 역할을 수행했습니다 목요일은 일정을 소화하지 않는 것으로 되어 있지만 팀원들이 중간고사 시험 일정으로 인해 참석 인원이 없었습니다 그래서 월요일에서 수요일까지만 취재하기로 되어 있지만 목요일까지 취재하는 것으로 일정을 조정했습니다 목요일 오후에는 스타트업  주간 행사 취재 및 인터뷰를 하기로 했습니다 이러한 상황에서 해당 요일에 스타트업의 행사 일정을 미리 파악해 취재 및 인터뷰를 할 수 있는 스타트업과 행사 일정을 파악했습니다 센터의 스타트업 행사 건물 현황 및 행사 안내 카탈로그를 보면서 대구 스타트업 주간 행사의 특징을 파악했습니다 그 후 목요일 스타트업 행사 일정에 어떻게 취재를 하는 것이 스타트 업의 특징이 잘 표현될지와 센터가 스타트업을 지원하기 위해 어떤 역할을 수행하고 있는지 전달하는데 고민했습니다 행사 배경과 행사장 느낌이 스타트업의 이미지에 어울리는 장면을 위주로 촬영을 했습니다 인터뷰는 분량 확보 보단 내용의 체계 성과 짜임새를 중요하게 생각했습니다 그래서 인터뷰 질문 구성을 개의 질문 단위로 개별화하기보다는 질문 간의 유기적으로 연결성  있게 구성했습니다 인터뷰의 질문을 해 당 기업의 설립 이유 비전 제품의 차별화된 특징을 물어보되 시청자들의 입장에서 궁금할 만한 질문을 사이에 추가해서 인터뷰를 진행했습니다 센터 행사 담당자를 인터뷰를 통해 센터가 스타트업 주간과 같은 행사를 어떤 목적으로 하는지 알리는 것이 중요하다고 생각했습니다 대구 스타트업 주간 행사 담당자에게 이러한 행사를 개최하 게 된 이유와 기대 효과에 대해서 인터뷰했습니다 그 결과 담당 직원에게 인터뷰의 내용이 핵심적인 것이 잘 드러났다는 칭찬과 예정된 시간보다 일정을 빨리 끝냈습니다,관리원 정책 총괄팀 인턴에서 글로벌 개국 소재부품 장비의 현황조사 세미나를 준비하면서 자료는 자료로 준비하는 것이 자료 이해에 도움이 된다고 조언하며 자료의 요약과 거시적인 관점에서 현황 파악 및 결과를 도 출하고 항목별로 세부적으로 설명하는 형식으로 구성했다.,"연결성 있게 구성을 하는 것이 중요하다고 생각했습니다.
그래서 자료에 대한 요약과 거시적인 관점에서 현황 파악 및 결과를 도 출하고 항목별로 세부적으로 설명하는 형식으로 구성했습니다.
부품 소재의 산업 군의 글로벌  시장의 시장 점유율 및 대 세계 별 수출 현황을 소재 부품별로 명확히 파악 및 분석한 자료를 구성했습니다.
그래서 다른 부품 소재 산업의 육성을 통해 다각화된 부품산업의 글로벌  경쟁력을 확보를 해야 한다고 방향성을 제시했습니다.
그래서 독일 일본 미국은 가격 경쟁력이 약하기 때문에 그 부분에 대한 경쟁력을 확보하고 해당 니즈에 맞게 최적화된 품질 경쟁력을 확보하는 것을 제안했습니다.
그래서 월요일에서 수요일까지만 취재하기로 되어 있지만 목요일까지 취재하는 것으로 일정을 조정했습니다.
목요일 오후에는 스타트업  주간 행사 취재 및 인터뷰를 하기로 했습니다.
이러한 상황에서 해당 요일에 스타트업의 행사 일정을 미리 파악해 취재 및 인터뷰를 할 수 있는 스타트업과 행사 일정을 파악했습니다.
